"email","password","name","shoppingPreference","dateOfBirth","privacyTermsAgreed","createdAt","phoneNumber"
"William_Jones_237@dsfclimatecool.com","Yw37Xs47","William Jones","MENS","13/12/1986",true,"2023-08-05T10:59:03.500Z","+18609713731"
"Richard_Doe_309@dsfclimatecool.com","Li44MJpV","Richard Doe","MENS","06/05/1965",true,"2023-08-05T11:49:52.653Z","+17743692172"
"Robert_Timothy_988@dsfclimatecool.com","By9LTbd0","Robert Timothy","MENS","26/10/1981",true,"2023-08-05T11:50:22.096Z","+118382361582"
"James_Dennis_493@dsfclimatecool.com","Xo01Gijx","James Dennis","MENS","30/09/1991",true,"2023-08-05T12:23:59.760Z","+15752057590"
"James_Edward_457@dsfclimatecool.com","Sa0xm9Zc","James Edward","MENS","10/05/1990",true,"2023-08-05T13:21:54.207Z","+17734575236"
"Emma_Jeffrey_282@dsfclimatecool.com","Nv5FvRec","Emma Jeffrey","MENS","25/05/1951",true,"2023-08-05T13:22:00.568Z","+19253000167"
"Thomas_Stephen_214@dsfclimatecool.com","Ib6BPTEZ","Thomas Stephen","MENS","11/11/1967",true,"2023-08-05T13:22:10.479Z","+17654354682"
"Sara_Jeffrey_828@dsfclimatecool.com","Je9xvcI7","Sara Jeffrey","MENS","13/05/1989",true,"2023-08-05T13:57:30.843Z","+15642133020"
"James_Timothy_696@dsfclimatecool.com","Ss2X8t2K","James Timothy","MENS","21/12/1959",true,"2023-08-08T07:15:28.979Z","+17693336214"
"Thomas_Edward_290@dsfclimatecool.com","Dt9gNXW0","Thomas Edward","MENS","09/09/1962",true,"2023-08-08T08:05:54.804Z","+15513637789"
"David_Stephen_899@dsfclimatecool.com","Aj5JuQdE","David Stephen","MENS","23/06/1963",true,"2023-08-08T08:10:50.102Z","+15623360971"
"Thomas_Jones_008@dsfclimatecool.com","Wc8ayKzr","Thomas Jones","MENS","27/11/1974",true,"2023-08-08T08:18:55.475Z","+17632974891"
"William_Timothy_933@dsfclimatecool.com","Fz82tazp","William Timothy","MENS","01/04/1952",true,"2023-08-08T08:18:56.134Z","+15627252348"
"David_Wilson_830@dsfclimatecool.com","Rl7r62La","David Wilson","MENS","04/09/2002",true,"2023-08-08T08:19:07.267Z","+12059617906"
"Emma_George_488@dsfclimatecool.com","Yi3AQKgj","Emma George","MENS","04/05/1989",true,"2023-08-08T09:08:47.740Z","+13136610632"
"Mark_Jones_806@dsfclimatecool.com","Cq8Jnhcg","Mark Jones","MENS","03/12/1981",true,"2023-08-08T09:08:48.984Z","+17573567876"
"Gary_Jeffrey_352@dsfclimatecool.com","Mz5nzZmK","Gary Jeffrey","MENS","27/08/1979",true,"2023-08-08T09:26:52.452Z","+19517072109"
"James_Doe_418@dsfclimatecool.com","Tj4Uwm2G","James Doe","MENS","01/09/1986",true,"2023-08-08T11:30:30.061Z","+12067614470"
"Alex_Dennis_853@dsfclimatecool.com","Ax1aqA0R","Alex Dennis","MENS","07/06/1973",true,"2023-08-08T11:30:36.364Z","+19083874006"
"Sara_Dennis_357@dsfclimatecool.com","Sq67gwU2","Sara Dennis","MENS","01/06/1953",true,"2023-08-08T11:41:12.796Z","+15736211990"
"William_Stephen_760@dsfclimatecool.com","Yi0x1bN2","William Stephen","MENS","19/09/1972",true,"2023-08-08T15:09:36.808Z","+16363894516"
"Richard_Timothy_889@dsfclimatecool.com","Cs6CaLbY","Richard Timothy","MENS","28/05/1953",true,"2023-08-08T15:26:18.857Z","+118508295204"
"Thomas_Dennis_595@dsfclimatecool.com","Ay5xLmX0","Thomas Dennis","MENS","08/03/1977",true,"2023-08-08T15:55:23.835Z","+14753157699"
"Robert_Timothy_013@dsfclimatecool.com","Th1mjO9Y","Robert Timothy","MENS","11/11/1997",true,"2023-08-09T06:27:04.241Z","+18382361582"
"William_Timothy_725@dsfclimatecool.com","Dn5nSVIQ","William Timothy","MENS","27/06/1965",true,"2023-08-09T06:27:06.130Z","+15416512538"
"James_Anthony_886@dsfclimatecool.com","Ye5yHSRO","James Anthony","MENS","23/12/1954",true,"2023-08-09T06:27:07.699Z","+17318009307"
"James_Dennis_445@dsfclimatecool.com","Pd4K6VRO","James Dennis","MENS","20/12/1967",true,"2023-08-09T06:41:16.558Z","+12292094583"
"James_Wilson_022@dsfclimatecool.com","Hi5Ua9Qy","James Wilson","MENS","10/04/1981",true,"2023-08-09T06:41:21.615Z","+17622702234"
"David_Jones_868@dsfclimatecool.com","Em6W25wB","David Jones","MENS","07/02/1966",true,"2023-08-09T06:41:57.699Z","+12078868672"
"Gary_Jones_624@dsfclimatecool.com","Wb0IqCqG","Gary Jones","MENS","21/11/1978",true,"2023-08-09T06:52:25.904Z","+16058685680"
"Charles_Smith_440@dsfclimatecool.com","Gv4uW4FT","Charles Smith","MENS","23/06/1954",true,"2023-08-09T07:05:49.498Z","+12342477960"
"James_Dennis_389@dsfclimatecool.com","Gh9TFHFt","James Dennis","MENS","25/08/1951",true,"2023-08-09T07:05:53.197Z","+15752057590"
"Thomas_Edward_545@dsfclimatecool.com","Jq0fM3PN","Thomas Edward","MENS","25/09/1955",true,"2023-08-09T07:06:02.084Z","+15513637789"
"Gary_Anthony_716@dsfclimatecool.com","Wj4OKtIl","Gary Anthony","MENS","02/04/1976",true,"2023-08-09T07:06:09.113Z","+15674072445"
"Thomas_George_303@dsfclimatecool.com","Um7Y2vQV","Thomas George","MENS","19/07/1970",true,"2023-08-09T07:06:29.322Z","+15594062665"
"Sara_Edward_639@dsfclimatecool.com","Kj1jdCTC","Sara Edward","MENS","30/12/1956",true,"2023-08-09T07:21:26.829Z","+19286604947"
"William_Timothy_078@dsfclimatecool.com","Zd98ZdAl","William Timothy","MENS","19/03/1993",true,"2023-08-09T07:22:06.093Z","+15627252348"
"Mia_White_309@dsfclimatecool.com","Vr4c0dX5","Mia White","MENS","17/09/1988",true,"2023-08-09T07:41:30.493Z","+14588771496"
"Alexander_Martinez_157@dsfclimatecool.com","Nh8gZBjW","Alexander Martinez","MENS","29/04/1984",true,"2023-08-09T07:41:38.621Z","+16159856246"
"Alexander_Garcia_571@dsfclimatecool.com","Da5RKZ1X","Alexander Garcia","MENS","06/05/1986",true,"2023-08-09T07:41:48.084Z","+14406646310"
"Ava_Harris_950@dsfclimatecool.com","Wd8Zynrm","Ava Harris","MENS","13/12/1978",true,"2023-08-09T07:52:53.759Z","+18312442723"
"Lucas_Thompson_216@dsfclimatecool.com","Kp7jqA62","Lucas Thompson","MENS","08/01/1971",true,"2023-08-09T07:53:00.534Z","+12097822119"
"Sophia_Thompson_814@dsfclimatecool.com","Ub3pW8Tp","Sophia Thompson","MENS","06/09/2002",true,"2023-08-09T07:53:06.106Z","+17869544376"
"Jackson_Thomas_159@dsfclimatecool.com","Xt97IhJi","Jackson Thomas","MENS","01/11/1976",true,"2023-08-09T07:53:33.516Z","+17652406607"
"reggiedonnelly189@web.de","Wo1V9N8q","reggiedonnelly Moore","MENS","26/07/1955",true,"2023-08-09T08:11:13.606Z","+13132057074"
"Olivia_Taylor_782@dsfclimatecool.com","Yw9gAEec","Olivia Taylor","MENS","03/05/1951",true,"2023-08-09T08:22:00.941Z","+18396664869"
"Noah_Moore_783@dsfclimatecool.com","Qq6y8A5Z","Noah Moore","MENS","30/05/1987",true,"2023-08-09T08:22:00.942Z","+15734040374"
"mayarunte498@web.de","Oe1d9foq","mayarunte Davis","MENS","29/07/1990",true,"2023-08-09T08:25:39.801Z","+15512727644"
"charliereichel865@web.de","Ks52Kb0L","charliereichel Thomas","MENS","14/08/1954",true,"2023-08-09T08:25:43.465Z","+19716341274"
"Charlotte_Anderson_874@dsfclimatecool.com","Dh1VCTgI","Charlotte Anderson","MENS","09/11/1999",true,"2023-08-09T14:19:31.418Z",
"Ava_Martin_970@dsfclimatecool.com","Cs24e0K9","Ava Martin","MENS","03/01/1979",true,"2023-08-09T14:50:29.192Z","+19565917406"
"Ava_Taylor_981@dsfclimatecool.com","Lc930NC8","Ava Taylor","MENS","11/11/1950",true,"2023-08-09T15:29:49.187Z","+19094402211"
